geocodenum,hsppl2000,parproper2000,parnonproper2000,aptpro2000,hspro2000,hsgeo2000,hi_ses_hs2000,low_ses_hs2000,hi_ses_sigungu2000,low_ses_sigungu2000,d_par_hs2000,d_par_sido2000,x_par_hs_low2000,x_par_sido_low2000,hsppl2005,parproper2005,parnonproper2005,aptpro2005,hspro2005,hsgeo2005,hi_ses_hs2005,low_ses_hs2005,hi_ses_sigungu2005,low_ses_sigungu2005,d_par_hs2005,d_par_sido2005,x_par_hs_low2005,x_par_sido_low2005,hsppl2010,parproper2010,parnonproper2010,aptpro2010,hspro2010,hsgeo2010,hi_ses_hs2010,low_ses_hs2010,hi_ses_sigungu2010,low_ses_sigungu2010,d_par_hs2010,d_par_sido2010,x_par_hs_low2010,x_par_sido_low2010,hsppl2015,parproper2015,parnonproper2015,aptpro2015,hspro2015,hsgeo2015,hi_ses_hs2015,low_ses_hs2015,hi_ses_sigungu2015,low_ses_sigungu2015,d_par_hs2015,d_par_sido2015,x_par_hs_low2015,x_par_sido_low2015,hsppl2020,parproper2020,parnonproper2020,aptpro2020,hspro2020,hsgeo2020,hi_ses_hs2020,low_ses_hs2020,hi_ses_sigungu2020,low_ses_sigungu2020,d_par_hs2020,d_par_sido2020,x_par_hs_low2020,x_par_sido_low2020,geo2
29010,105,1.9047619,79.047623,30.476191,69.523811,290102,1,21,2,83,.24698795,.29038283,.023357499,.072144568,90,4.4444447,65.555557,48.888889,51.111111,290102,3,25,4,59,.32627118,.21923767,.061864406,.18014085,106,10.377358,48.113209,66.037735,33.962265,290102,10,28,11,51,.3600713,.24289097,.1632697,.17217346,379,30.606859,22.163588,84.696571,15.30343,290102,113,49,116,84,.39080459,0,.43978775,.57999998,444,42.342342,11.936937,92.567566,7.4324327,290102,179,40,188,53,.19741067,0,.7172122,.780083,세종특별자치시
31010,1993,12.042148,41.445057,59.508278,40.491722,310101,24,488,240,826,.49079904,.31306788,.18723777,.16012496,2098,23.879885,33.937084,66.158249,33.841755,310101,54,385,501,712,.43294591,.29831475,.33175066,.31341285,1638,16.788767,31.746031,70.87912,29.120878,310101,23,254,275,520,.40482518,.32383463,.28941473,.28288129,1461,25.051334,23.47707,76.317589,23.682409,310102,342,176,366,343,.4213067,.31937793,.39995646,.37296727,1312,33.612804,18.064024,81.631096,18.368902,310102,411,136,441,237,.35813314,.36484686,.52876049,.45672023,경기도 수원시
31020,1984,16.229839,39.364918,48.387096,51.612904,310202,272,194,322,781,.59632099,.31306788,.20398387,.16012496,1609,31.013052,34.990677,52.01989,47.98011,310201,91,430,499,563,.58140081,.29831475,.31156075,.31341285,1359,30.389992,27.225901,57.836643,42.163357,310201,55,285,413,370,.63709837,.32383463,.3102532,.28288129,1286,36.547436,21.384136,59.875584,40.124416,310202,388,63,470,275,.59644103,.31937793,.41210476,.37296727,1439,43.641418,13.829048,65.740097,34.259903,310201,117,152,628,199,.57751334,.36484686,.54850626,.45672023,경기도 성남시
31030,712,7.0224719,48.735954,55.477528,44.522472,310301,4,202,50,347,.50213259,.31306788,.11194178,.16012496,713,13.464235,43.47826,65.497894,34.502102,310301,17,150,96,310,.30678764,.29831475,.21985964,.31341285,640,8.28125,41.09375,70.78125,29.21875,310301,4,128,53,263,.41122031,.32383463,.15144439,.28288129,506,14.624506,35.177864,69.960472,30.039526,310302,70,88,74,178,.45156392,.31937793,.24054568,.37296727,425,13.882353,28,76,24,310302,49,69,59,119,.25067654,.36484686,.31080568,.45672023,경기도 의정부시
31040,1296,11.574074,43.441357,57.638889,42.361111,310402,135,233,150,563,.48614565,.31306788,.17730616,.16012496,1195,27.531382,32.46862,70.878662,29.12134,310401,26,198,329,388,.43128192,.29831475,.36019844,.31341285,926,23.002159,30.237581,69.978401,30.021599,310402,189,131,213,280,.41946679,.32383463,.35015142,.28288129,749,31.108145,21.094793,78.237648,21.76235,310402,220,78,233,158,.45053512,.31937793,.43523219,.37296727,659,35.356602,12.898331,78.148712,21.85129,310402,206,36,233,85,.46059075,.36484686,.56532377,.45672023,경기도 안양시
31050,1789,6.8194523,51.313583,45.947456,54.052544,310501,29,609,122,918,.42569378,.31306788,.10802494,.16012496,1626,15.99016,43.849937,52.337025,47.662975,310501,57,442,260,713,.40068507,.29831475,.23359069,.31341285,1159,13.718723,41.415012,56.600517,43.399483,310501,27,285,159,480,.42393869,.32383463,.21537304,.28288129,956,16.945606,32.845188,55.962341,44.037659,310502,135,111,162,314,.47983015,.31937793,.26988876,.37296727,865,16.994219,27.745665,51.213871,48.786129,310501,36,172,147,240,.47176871,.36484686,.2997368,.45672023,경기도 부천시
31060,718,9.3314762,47.910862,51.114204,48.885796,310601,8,225,67,344,.53466678,.31306788,.13711961,.16012496,556,16.366907,39.028778,61.151077,38.848923,310601,17,113,91,217,.33392414,.29831475,.26734045,.31341285,433,15.473441,35.103928,62.12471,37.87529,310601,11,79,67,152,.35555774,.32383463,.27200973,.28288129,436,19.724771,28.21101,70.871559,29.128441,310601,12,57,86,123,.32387975,.31937793,.36421755,.37296727,408,23.039215,22.303921,77.450981,22.549019,310601,5,48,94,91,.47428104,.36484686,.36835963,.45672023,경기도 광명시
31070,649,5.0847459,57.473034,47.303543,52.696457,310701,8,241,33,373,.40368837,.31306788,.077110134,.16012496,681,11.306902,48.458149,58.590309,41.409691,310701,24,152,77,330,.14891775,.29831475,.18656696,.31341285,560,9.2857141,46.07143,73.035713,26.964285,310701,5,91,52,258,.25655934,.32383463,.1605316,.28288129,566,10.954063,38.692581,77.738518,22.261484,310702,54,152,62,219,.17690381,.31937793,.21457227,.37296727,447,12.975391,29.753916,75.391502,24.608501,310701,5,52,58,133,.30477056,.36484686,.27517831,.45672023,경기도 평택시
31080,120,0,71.666664,36.666668,63.333332,310801,0,57,0,86,0,.31306788,0,.16012496,105,5.7142859,66.666664,50.476189,49.523811,310802,4,30,6,70,.23809524,.29831475,.077631049,.31341285,120,2.5,57.5,68.333336,31.666666,310801,0,30,3,69,.43478259,.32383463,.04037267,.28288129,108,3.7037036,51.851852,65.740738,34.259258,310802,3,34,4,56,.14285715,.31937793,.066308543,.37296727,162,7.4074073,42.592594,75.925926,24.074074,310802,9,51,12,69,.010869565,.36484686,.14813665,.45672023,경기도 동두천시
31090,1236,6.0679612,52.588997,44.012943,55.987057,310901,18,429,75,650,.41999999,.31306788,.096289411,.16012496,1355,13.357934,43.837639,51.217712,48.782288,310901,36,389,181,594,.45598713,.29831475,.19844976,.31341285,1106,7.233273,46.112114,51.356239,48.643761,310901,17,315,80,510,.40514705,.32383463,.12499176,.28288129,935,9.6256685,42.566845,49.304813,50.695187,310901,17,249,90,398,.43673927,.31937793,.16308801,.37296727,738,12.195122,40.92141,50.813007,49.186993,310901,22,199,90,302,.41449594,.36484686,.20122191,.45672023,경기도 안산시
