geo2,geocodenum,p_hs_sigungu2006,p_hs_sido2006,mean2006,gini2006,theil2006,low_inc_dong2006,hi_inc_dong2006,low_inc_sigungu2006,hi_inc_sigungu2006,hsppl2006,d_inc_sigungu2006,x_inc_sigungu_low2006,x_inc_sigungu_high2006,d_inc_sido2006,x_inc_sido_low2006,x_inc_sido_high2006,geocode_str,p_hs_sigungu2010,p_hs_sido2010,mean2010,gini2010,theil2010,low_inc_dong2010,hi_inc_dong2010,low_inc_sigungu2010,hi_inc_sigungu2010,hsppl2010,d_inc_sigungu2010,x_inc_sigungu_low2010,x_inc_sigungu_high2010,d_inc_sido2010,x_inc_sido_low2010,x_inc_sido_high2010
충청북도 보은군,33320,,,,,,,,,,,,,,,,,10-142-011,.1095393,.033352517,219.59685,.40796277,.2895079,2815,789,65,9,131,.52307695,.10730769,.77499998,.3286033,.30385315,.58587778
충청북도 옥천군,33330,,,,,,,,,,,,,,,,,10-143-011,.16660339,.033352517,303.50903,.32669252,.20050432,2815,789,63,18,254,.58730161,.16883117,.59090906,.3286033,.30385315,.58587778
충청북도 영동군,33340,,,,,,,,,,,,,,,,,10-144-011,.11534597,.033352517,245.23459,.36944777,.26473153,2815,789,94,12,211,.47872341,.10254559,.8032738,.3286033,.30385315,.58587778
충청북도 괴산군,33360,,,,,,,,,,,,,,,,,10-147-011,.044330988,.033352517,203.29813,.37883765,.25664553,2815,789,45,3,100,.77777779,.051282052,.76923078,.3286033,.30385315,.58587778
충청북도 단양군,33380,,,,,,,,,,,,,,,,,10-149-011,.042013917,.033352517,220.71213,.35712433,.22303616,2815,789,16,1,58,.9375,.03125,.5,.3286033,.30385315,.58587778
충청북도 증평군,33390,,,,,,,,,,,,,,,,,10-145-014,.003470399,.033352517,307.04526,.25699258,.13166295,285,165,58,6,193,.10344828,.092746727,.89655173,.3286033,.30385315,.58587778
충청남도 공주시,34020,,,,,,,,,,,,,,,,,11-152-011,.068456732,.018360443,283.26556,.31752568,.19154216,2815,789,117,20,446,.45085469,.12521675,.73251802,.18504091,.25658396,.70886755
충청남도 보령시,34030,,,,,,,,,,,,,,,,,11-153-011,.13535874,.018360443,287.79651,.34624913,.2184113,2815,789,114,30,408,.47368422,.1673453,.63591212,.18504091,.25658396,.70886755
충청남도 서산시,34050,,,,,,,,,,,,,,,,,11-155-011,.072199866,.018360443,364.41101,.29709524,.16659409,2815,789,140,91,833,.33186814,.34077433,.52426815,.18504091,.25658396,.70886755
충청남도 논산시,34060,,,,,,,,,,,,,,,,,11-156-011,.083176829,.018360443,297.10944,.40336317,.30358407,2815,789,121,31,384,.56358302,.15639713,.61045337,.18504091,.25658396,.70886755
