"geocode_str","geo2","geocodenum","p_hs_sigungu2006","p_hs_sido2006","mean2006","gini2006","theil2006","low_inc_dong2006","hi_inc_dong2006","low_inc_sigungu2006","hi_inc_sigungu2006","hsppl2006","d_inc_sigungu2006","x_inc_sigungu_low2006","x_inc_sigungu_high2006","n_inc_sigungu_low2006","n_inc_sigungu_high2006","d_inc_sido2006","x_inc_sido_low2006","x_inc_sido_high2006","n_inc_sido_low2006","n_inc_sido_high2006","p_hs_sigungu2010","p_hs_sido2010","mean2010","gini2010","theil2010","low_inc_dong2010","hi_inc_dong2010","low_inc_sigungu2010","hi_inc_sigungu2010","hsppl2010","d_inc_sigungu2010","x_inc_sigungu_low2010","x_inc_sigungu_high2010","n_inc_sigungu_low2010","n_inc_sigungu_high2010","d_inc_sido2010","x_inc_sido_low2010","x_inc_sido_high2010","n_inc_sido_low2010","n_inc_sido_high2010","d_inc_sigungu_com2010","x_inc_sigungu_low_com2010","n_inc_sigungu_low_com2010","d_inc_sigungu_sch2010","x_inc_sigungu_low_sch2010","n_inc_sigungu_low_sch2010","d_inc_sigungu_es2010","x_inc_sigungu_low_es2010","n_inc_sigungu_low_es2010","d_inc_sigungu_ms2010","x_inc_sigungu_low_ms2010","n_inc_sigungu_low_ms2010","d_inc_sigungu_hs2010","x_inc_sigungu_low_hs2010","n_inc_sigungu_low_hs2010","d_inc_sigungu_cl2010","x_inc_sigungu_low_cl2010","n_inc_sigungu_low_cl2010","x_inc_sigungu_high_es2010","n_inc_sigungu_high_es2010","x_inc_sigungu_high_ms2010","n_inc_sigungu_high_ms2010","x_inc_sigungu_high_hs2010","n_inc_sigungu_high_hs2010","x_inc_sigungu_high_cl2010","n_inc_sigungu_high_cl2010"
"13-198-011","전라남도 함평군","36430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0886957421898842,0.019393676891923,393.926391601562,0.495216876268387,0.446657657623291,2815,789,103,8,217,0.661407768726349,0.0606438182294369,0.780789196491241,0.158567011356354,0.158567011356354,0.338118612766266,0.180142000317574,0.714857459068298,0.105000540614128,0.105000540614128,0.555555582046509,0.137925192713737,0.241411432623863,0.461616158485413,0.0827133283019066,0.159081175923347,0.648837208747864,0.071945033967495,0.309327691793442,0.37777778506279,0.078835979104042,0.0697354525327682,0.421052634716034,0.0890688225626945,0.346828609704971,0,0,0,0.618727266788483,0.309327691793442,0.85142856836319,0.0697354525327682,0.564102590084076,0.346828609704971,0,1
"13-199-011","전라남도 영광군","36440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0960535928606987,0.019393676891923,306.565856933594,0.371117413043976,0.255155980587006,2815,789,97,16,265,0.515463888645172,0.119743831455708,0.725946962833405,0.154309198260307,0.154309198260307,0.338118612766266,0.180142000317574,0.714857459068298,0.105000540614128,0.105000540614128,0.458333343267441,0.423611104488373,0.258680552244186,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,1,0,1,0,1
"13-200-011","전라남도 장성군","36450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0691807493567467,0.019393676891923,272.180816650391,0.417445152997971,0.319907307624817,2815,789,93,9,216,0.408602148294449,0.0824161916971207,0.851633965969086,0.0659498199820518,0.0659498199820518,0.338118612766266,0.180142000317574,0.714857459068298,0.105000540614128,0.105000540614128,0.362500011920929,0.110776372253895,0.0620933547616005,0.43529412150383,0.0819068178534508,0.0826436206698418,0.677835047245026,0.0315131619572639,0.204292699694633,0.515151500701904,0.110845297574997,0.157575756311417,0.200000002980232,0.186029404401779,0.0698529407382011,0.666666686534882,0.16666667163372,0.333333343267441,0.764194130897522,0.204292699694633,0.731578946113586,0.157575756311417,0.744117617607117,0.0698529407382011,0.5,0.333333343267441
"13-201-011","전라남도 완도군","36460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0515165477991104,0.019393676891923,341.655029296875,0.419165343046188,0.328847408294678,2815,789,73,17,202,0.302981466054916,0.174727782607079,0.750301659107208,0.0749705582857132,0.0749705582857132,0.338118612766266,0.180142000317574,0.714857459068298,0.105000540614128,0.105000540614128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13-202-011","전라남도 진도군","36470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0595783032476902,0.019393676891923,267.779937744141,0.361519455909729,0.250552982091904,2815,789,67,5,154,0.411940306425095,0.0637397393584251,0.854112565517426,0.0821477025747299,0.0821477025747299,0.338118612766266,0.180142000317574,0.714857459068298,0.105000540614128,0.105000540614128,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13-203-011","전라남도 신안군","36480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0553969368338585,0.019393676891923,144.824676513672,0.339121580123901,0.222794011235237,2815,789,42,0,55,0,0,0,0,1,0.338118612766266,0.180142000317574,0.714857459068298,0.105000540614128,0.105000540614128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14-204-011","경상북도 포항시","37010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0863062888383865,0.0227647479623556,379.550720214844,0.333638936281204,0.205361738801003,2815,789,194,142,1136,0.477058231830597,0.294686198234558,0.402599453926086,0.069206178188324,0.069206178188324,0.256592720746994,0.205206140875816,0.72350811958313,0.0712625980377197,0.0712625980377197,0.309397369623184,0.454246938228607,0.155484586954117,0.454823464155197,0.333897531032562,0.298477917909622,0.450480401515961,0.318206518888474,0.311039060354233,0.597756385803223,0.285387486219406,0.451177895069122,0.397321432828903,0.386952221393585,0.274464577436447,0.466666668653488,0.170000001788139,0.319999992847443,0.370754390954971,0.311039060354233,0.263434618711472,0.451177895069122,0.338583201169968,0.274464577436447,0.509999990463257,0.319999992847443
"14-206-011","경상북도 경주시","37020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0613851919770241,0.0227647479623556,322.913360595703,0.30523493885994,0.182100683450699,2815,789,339,86,1407,0.390032231807709,0.1727644354105,0.681013286113739,0.0596136003732681,0.0596136003732681,0.256592720746994,0.205206140875816,0.72350811958313,0.0712625980377197,0.0712625980377197,0.240405902266502,0.316901385784149,0.0696680471301079,0.30116394162178,0.219593971967697,0.0932893827557564,0.383586198091507,0.163803309202194,0.130147933959961,0.363636374473572,0.187789678573608,0.123648151755333,0.316417902708054,0.318339616060257,0.148441508412361,0.353623181581497,0.244573682546616,0.192906871438026,0.706048727035522,0.130147933959961,0.688562154769897,0.123648151755333,0.533218860626221,0.148441508412361,0.562519431114197,0.192906871438026
"14-207-011","경상북도 김천시","37030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135022476315498,0.0227647479623556,332.387145996094,0.328758835792542,0.195527076721191,2815,789,135,71,667,0.5139279961586,0.248292103409767,0.472104698419571,0.0541597008705139,0.0541597008705139,0.256592720746994,0.205206140875816,0.72350811958313,0.0712625980377197,0.0712625980377197,0.75,0.125,0.625,0.666666686534882,0.0666666701436043,0.133333340287209,0,0,0,0,0,0,0.400000005960464,0.150000005960464,0.100000001490116,0,0,0,0,1,0,1,0.75,0.100000001490116,0,1
"14-208-011","경상북도 안동시","37040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110656708478928,0.0227647479623556,352.363952636719,0.333983391523361,0.202217251062393,2815,789,238,97,919,0.330113500356674,0.251340806484222,0.616691887378693,0.0935971140861511,0.0935971140861511,0.256592720746994,0.205206140875816,0.72350811958313,0.0712625980377197,0.0712625980377197,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,0,1,0,0
